Storkreds,Opstillingskreds,Kommune,Valgdistrikt_kode,Location,Persons18,Persons65,Age_Mean,Income_Mean,Grundskole,Gymnasial,Erhvervsfaglig,Kort_vider,Mellemlang_vider,Bachelor,Lang_vider,Uoplyst,with_children,without_children,A. Socialdemokratiet,B. Radikale Venstre,C. Det Konservative Folkeparti,D. Nye Borgerlige,E. Klaus Riskær Pedersen,F. SF - Socialistisk Folkeparti,I. Liberal Alliance,K. Kristendemokraterne,O. Dansk Folkeparti,P. Stram Kurs,"V. Venstre, Danmarks Liberale Parti",Ø. Enhedslisten - De Rød-Grønne,Å. Alternativet,Kandidater uden for partierne i alt
9. Vestjyllands Storkreds,7. Ikast Opstillingskreds,756,9,Bording,2688,780,53,223437.9,35.52827381,4.650297619,41.81547619,4.203869048,10.11904762,0.632440476,2.194940476,0.855654762,1683,1005,490,46,132,43,14,92,51,135,245,58,931,48,21,0
9. Vestjyllands Storkreds,7. Ikast Opstillingskreds,756,10,Engesvang,2144,481,51,234681.4,30.08395522,4.710820896,41.32462687,5.177238806,12.82649254,0.746268657,4.617537313,0.513059701,1234,910,526,87,112,33,12,135,37,69,207,32,503,71,44,0
9. Vestjyllands Storkreds,8. Herning Syd Opstillingskreds,657,1,Herning,19422,5041,49.2,223666.6,29.85274431,10.75584389,32.7824117,5.437133148,14.1128617,1.467408094,4.21686747,1.374729688,14371,5051,3595,1189,1375,296,104,956,682,721,1051,276,4556,604,364,0
9. Vestjyllands Storkreds,8. Herning Syd Opstillingskreds,657,2,Arnborg,999,263,52.7,222140.4,36.23623624,4.304304304,41.24124124,5.005005005,9.50950951,0.600600601,1.801801802,1.301301301,647,352,200,22,38,25,3,33,12,37,109,27,273,16,14,0
9. Vestjyllands Storkreds,8. Herning Syd Opstillingskreds,657,5,Kibæk,2490,732,52.7,225731.1,37.26907631,4.21686747,38.99598394,3.534136546,11.96787149,0.763052209,2.489959839,0.763052209,1500,990,439,111,165,44,13,71,48,179,214,39,727,34,25,0
9. Vestjyllands Storkreds,8. Herning Syd Opstillingskreds,657,6,Kølkær,743,143,49.5,223685.7,36.74293405,6.998654105,39.8384926,3.230148048,9.555854643,0.942126514,1.749663526,0.942126514,484,259,145,21,35,12,5,33,17,42,82,22,148,24,10,0
9. Vestjyllands Storkreds,8. Herning Syd Opstillingskreds,657,7,Lind,4446,1216,52.1,270591.5,22.06477733,5.240665767,40.62078273,6.680161943,17.97121008,1.641925326,5.060728745,0.719748088,2306,2140,856,242,398,55,28,207,124,206,243,44,1611,71,40,0
9. Vestjyllands Storkreds,8. Herning Syd Opstillingskreds,657,8,Sdr. Felding,1718,519,54.2,212545,42.89871944,3.317811409,37.8346915,3.667054715,9.08032596,0.407450524,1.51338766,1.280558789,1146,572,345,50,89,20,10,54,18,113,161,14,500,36,20,0
9. Vestjyllands Storkreds,8. Herning Syd Opstillingskreds,657,9,Skarrild,701,170,52,227369.7,34.23680456,4.85021398,43.50927247,3.994293866,9.129814551,0.570613409,2.42510699,1.283880171,437,264,91,36,30,15,2,15,14,67,81,10,234,14,10,0
9. Vestjyllands Storkreds,8. Herning Syd Opstillingskreds,657,11,Studsgård,593,99,49.3,248873.4,28.33052277,3.372681282,47.04890388,6.070826307,11.97301855,1.011804384,1.517706577,0.674536256,335,258,105,32,33,11,3,12,19,31,61,11,168,15,5,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,13,Aulum,3037,888,52.1,225945,32.86137636,4.675666776,41.75172868,4.050049391,12.74283833,0.559762924,2.074415542,1.284162002,1831,1206,506,78,210,37,13,98,57,392,224,49,923,56,24,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,14,Feldborg,578,141,51.2,212449,43.42560554,3.633217993,40.48442907,2.076124567,7.093425606,0,1.730103806,1.557093426,342,236,85,13,26,12,4,15,12,21,61,11,192,12,6,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,15,Gullestrup,1265,199,47.6,222123.4,33.67588933,6.561264822,31.93675889,4.901185771,14.62450593,1.581027668,4.268774704,2.450592885,750,515,273,89,52,19,12,85,32,61,61,29,224,80,30,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,16,Haderup,841,262,54.3,248763.5,37.69322235,2.853745541,41.8549346,4.161712247,9.274673008,0.118906064,3.567181926,0.475624257,553,288,143,35,66,21,9,28,7,41,77,14,287,13,4,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,17,Hammerum,6283,1567,50.2,252653.8,22.75982811,9.995225211,36.11332166,6.461881267,16.61626611,1.145949387,5.936654464,0.970873786,3794,2489,1044,382,524,96,36,258,201,391,353,65,1898,147,109,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,18,Hodsager,531,121,50.7,248554.7,32.76836158,5.084745763,46.1393597,4.519774011,8.286252354,0.564971751,2.259887006,0.376647834,301,230,94,8,27,3,2,16,8,38,55,4,193,10,5,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,19,Ilskov,677,157,51.1,223205.6,33.53028065,3.840472674,46.08567208,4.431314623,10.48744461,0.147710487,1.033973412,0.443131462,426,251,135,28,37,17,2,19,16,24,70,6,192,15,11,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,20,Simmelkær,346,76,51.2,225197.9,43.6416185,2.89017341,40.1734104,2.89017341,8.38150289,0.578034682,1.445086705,0,202,144,38,11,26,7,2,13,6,5,43,6,97,9,4,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,21,Sinding,652,149,51.8,339022.4,28.52760736,4.294478528,41.10429448,5.061349693,16.41104294,0.306748466,3.220858896,1.073619632,396,256,111,24,34,8,4,33,18,55,56,9,206,15,8,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,22,Skibbild/Nøvling,704,159,52,242185.7,30.68181818,3.693181818,42.04545455,5.113636364,15.76704545,0.426136364,2.272727273,0,434,270,142,17,32,17,4,36,5,93,71,12,192,21,6,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,23,Snejbjerg,3707,965,51.4,245361,26.59832749,5.557054222,40.97653089,5.179390343,16.69813866,1.159967629,2.913407068,0.917183707,2105,1602,734,184,260,58,14,201,94,220,258,65,1197,60,21,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,24,Sunds,3482,1057,53.6,249235.3,30.81562321,4.96840896,41.01091327,5.198161976,13.0097645,1.177484204,3.072946582,0.7466973,2085,1397,667,128,296,61,15,115,71,127,262,22,1186,70,21,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,25,Timring,946,182,49.9,222511.9,36.6807611,4.122621564,40.48625793,4.862579281,9.090909091,0.634249471,2.00845666,2.114164905,544,402,129,23,57,17,9,29,20,116,83,8,261,22,6,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,26,Tjørring,4312,1231,52.1,247834.3,26.53061224,6.168831169,38.58998145,5.612244898,16.16419295,1.437847866,4.522263451,0.974025974,2552,1760,821,225,491,69,15,219,65,320,241,39,1167,87,39,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,27,Vildbjerg,3241,939,53.2,243852.1,34.24868868,4.782474545,38.41406973,4.319654428,14.62511571,0.555384141,2.344955261,0.709657513,1988,1253,595,104,205,47,19,125,43,259,249,33,1048,55,33,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,28,Vind,373,82,51.4,234457.7,31.90348525,4.021447721,36.99731903,5.898123324,16.3538874,1.072386059,3.217158177,0.536193029,227,146,81,14,16,5,0,18,11,15,36,7,119,7,3,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,29,Vinding,1224,305,51.3,242714.1,29.49346405,3.513071895,44.85294118,3.676470588,14.70588235,0.571895425,2.777777778,0.408496732,666,558,207,35,50,13,7,34,17,188,99,9,412,18,6,0
9. Vestjyllands Storkreds,9. Herning Nord Opstillingskreds,657,30,Ørnhøj,798,230,53.2,199156.7,42.48120301,3.50877193,38.84711779,3.50877193,9.899749373,0.501253133,0.751879699,0.501253133,518,280,132,26,47,18,0,30,20,43,108,14,255,10,3,0
9. Vestjyllands Storkreds,10. Holstebro Opstillingskreds,661,1,Musikteatret.1,14102,3668,49.7,226473.2,27.64856049,10.75733938,34.23627854,4.410721883,16.67848532,0.780031201,4.552545738,0.936037441,10217,3885,3276,677,865,182,67,871,353,488,850,175,3341,479,210,0
9. Vestjyllands Storkreds,10. Holstebro Opstillingskreds,661,2,Mejdal,3594,868,50.4,285306.2,18.28046745,4.28491931,39.7607123,6.789092933,22.78797997,1.085141903,6.677796327,0.333889816,1784,1810,859,161,201,45,18,215,79,129,212,33,1259,81,34,0
9. Vestjyllands Storkreds,10. Holstebro Opstillingskreds,661,3,Skave,1645,343,49.6,233752,33.86018237,4.559270517,40.66869301,3.829787234,13.73860182,0.547112462,2.188449848,0.607902736,897,748,362,54,62,17,11,67,48,48,105,39,562,25,25,0
9. Vestjyllands Storkreds,10. Holstebro Opstillingskreds,661,4,Mejrup,3245,717,49.9,277381.5,21.47919877,4.653312789,36.70261941,6.224961479,22.49614792,0.955315871,6.87211094,0.61633282,1540,1705,722,138,227,40,11,184,102,108,180,18,1097,64,46,0
9. Vestjyllands Storkreds,10. Holstebro Opstillingskreds,661,5,Nørreboulevardskolen,9984,2639,50.9,223031.8,29.75761218,7.151442308,37.08934295,4.356971154,16.27604167,0.741185897,3.615785256,1.01161859,6410,3574,2721,507,514,115,31,563,170,472,665,119,1967,413,113,0
9. Vestjyllands Storkreds,10. Holstebro Opstillingskreds,661,6,Vinderup,4202,1366,54.7,212858.7,38.86244645,3.545930509,39.93336506,3.73631604,10.49500238,0.35697287,2.165635412,0.904331271,2761,1441,1027,148,212,67,23,143,61,162,393,71,1145,65,34,0
9. Vestjyllands Storkreds,10. Holstebro Opstillingskreds,661,7,Sevel,1458,455,54.2,216544.9,37.10562414,4.183813443,38.34019204,4.38957476,12.75720165,0.411522634,2.331961591,0.480109739,926,532,255,47,79,15,7,70,40,109,106,16,464,36,19,0
9. Vestjyllands Storkreds,10. Holstebro Opstillingskreds,661,8,Ulfborg,2470,854,55.2,215883.7,40.20242915,3.481781377,38.74493927,2.793522267,11.33603239,0.24291498,2.105263158,1.093117409,1642,828,478,51,145,34,17,215,25,52,199,36,724,49,14,0
9. Vestjyllands Storkreds,10. Holstebro Opstillingskreds,661,9,Vemb,1479,491,53.9,200719,37.79580798,3.448275862,46.2474645,2.434077079,7.707910751,0.338066261,1.352265044,0.676132522,1017,462,320,29,78,36,7,67,18,33,144,25,437,28,11,0
9. Vestjyllands Storkreds,10. Holstebro Opstillingskreds,661,10,Sdr. Nissum,869,387,60.4,225862.9,39.47065593,2.761795167,35.67318757,2.991944764,13.11852704,0.230149597,3.912543153,1.841196778,709,160,176,24,44,12,5,52,11,22,91,9,255,19,6,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,1,Tarm,3696,1335,55.7,215745.7,37.33766234,3.625541126,38.82575758,3.111471861,12.68939394,0.45995671,2.651515152,1.298701299,2459,1237,626,95,165,33,18,140,33,737,299,53,711,73,26,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,2,Holmsland,1004,360,56.6,261706.5,27.68924303,2.788844622,47.21115538,4.183266932,13.94422311,0.398406375,2.689243028,1.09561753,714,290,157,28,72,9,7,46,16,87,96,9,344,9,6,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,3,Hoven,390,101,52.9,230971.2,36.15384615,4.358974359,39.48717949,4.615384615,11.28205128,0.512820513,2.820512821,0.769230769,264,126,49,11,10,12,3,19,10,24,37,9,112,14,5,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,5,Lyne,704,153,50.8,226938.1,36.64772727,3.835227273,43.18181818,3.693181818,9.659090909,0.426136364,1.5625,0.994318182,408,296,92,15,34,14,1,27,6,91,75,9,192,21,10,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,8,Bork,597,183,55,211353.5,39.02847571,4.690117253,42.37855946,2.512562814,7.537688442,0.502512563,1.507537688,1.842546064,417,180,107,8,23,18,5,14,10,58,50,7,160,16,4,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,9,Lønborg,976,283,53.9,226379.9,37.90983607,4.303278689,39.95901639,4.098360656,10.34836066,0.409836066,1.639344262,1.331967213,630,346,140,21,25,21,13,26,12,172,90,12,210,21,7,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,10,Hvide Sande,2419,849,55.3,242056.3,35.71723853,4.42331542,42.24886317,3.183133526,10.54154609,0.496072757,1.653575858,1.736254651,1627,792,286,57,141,32,8,74,49,331,220,25,667,31,15,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,12,Velling,950,288,53.6,277689.9,26.52631579,4.421052632,32.94736842,5.789473684,20.10526316,1.263157895,7.789473684,1.157894737,584,366,148,54,65,13,1,64,9,85,65,9,261,45,26,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,13,Ølstrup,592,136,51.6,260917.9,31.08108108,5.067567568,41.89189189,4.898648649,13.17567568,0.337837838,3.040540541,0.506756757,342,250,67,16,26,7,0,25,3,56,41,5,241,16,5,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,14,Ringkøbing,7027,2322,54,238917.7,29.47203643,4.909634268,38.50860965,4.866941796,14.87121104,0.811156966,5.63540629,0.925003558,4859,2168,1325,308,479,91,23,420,136,607,534,65,1722,150,80,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,16,Hee,1073,222,49.5,230439.3,34.20316869,4.473438956,44.17520969,2.889095993,10.1584343,0.18639329,3.168685927,0.745573159,618,455,151,33,40,25,8,47,27,64,128,18,308,30,11,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,19,Stadil,578,197,55.3,230087.6,33.39100346,4.325259516,39.2733564,3.633217993,13.14878893,0.865051903,4.152249135,1.211072664,380,198,60,22,33,9,5,19,13,30,50,2,231,24,8,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,20,Højmark,522,112,51.5,252975.3,31.6091954,3.831417625,43.67816092,4.022988506,12.06896552,0.383141762,3.0651341,1.340996169,288,234,84,14,18,5,1,19,10,51,36,10,204,11,4,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,21,Lem,1017,315,54.6,215949.3,35.69321534,3.343166175,43.95280236,3.638151426,9.832841691,0.098328417,2.064896755,1.376597837,681,336,203,33,65,16,8,42,7,86,103,10,246,23,7,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,22,Tim,1127,335,53.8,212875.3,34.60514641,4.614019521,41.25998225,2.928127773,12.77728483,0.266193434,2.30700976,1.242236025,683,444,182,39,54,19,10,66,18,60,112,17,341,24,11,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,24,Skjern,5969,1864,53.3,231570.6,33.38917742,4.975707824,39.73864969,3.685709499,13.40258,0.586362875,3.049086949,1.17272575,3944,2025,1118,150,293,64,13,190,91,1114,383,72,1349,91,55,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,25,Borris,935,246,51.4,218421.4,40,4.064171123,41.17647059,2.459893048,8.770053476,0.320855615,2.56684492,0.64171123,602,333,146,15,26,10,4,23,9,88,73,10,354,10,6,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,26,Faster,573,124,51.3,230255.6,36.47469459,2.094240838,42.7574171,4.188481675,11.51832461,1.047120419,1.221640489,0.698080279,323,250,70,11,16,11,4,9,2,131,37,10,198,4,5,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,27,Rækker Mølle,1156,253,50.4,228958,34.08304498,3.287197232,42.56055363,3.027681661,13.23529412,0.432525952,2.335640138,1.038062284,652,504,143,40,47,15,2,24,18,295,71,12,295,17,14,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,28,Stauning,871,242,53.5,238178.2,32.03214696,3.55912744,42.0206659,4.362801378,12.97359357,0.574052813,3.099885189,1.377726751,539,332,161,25,44,16,5,26,18,130,66,13,223,23,14,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,30,Videbæk,3657,1315,55.9,228045.1,37.70850424,3.308722997,41.64615805,3.527481542,10.80120317,0.437517091,1.585999453,0.984413454,2483,1174,643,78,166,37,14,96,47,709,339,31,941,35,32,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,31,Nr.Vium,462,58,47.1,240922.8,34.1991342,3.463203463,44.80519481,3.463203463,11.47186147,0,1.948051948,0.649350649,250,212,49,10,19,6,0,12,8,65,50,5,147,1,0,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,32,Troldhede,551,141,52,201633.6,45.37205082,3.629764065,40.83484574,2.177858439,5.626134301,0.181488203,0.725952813,1.451905626,372,179,64,14,29,4,8,22,11,57,65,10,116,20,5,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,33,Vorgod-Barde,1797,400,50.3,233434.3,30.77351141,4.229271007,45.13077351,5.230940456,11.90873678,0.222593211,1.83639399,0.667779633,995,802,266,39,78,22,1,57,27,301,188,24,518,21,20,0
9. Vestjyllands Storkreds,11. Ringkøbing Opstillingskreds,760,35,Spjald,2191,576,51.9,225780.5,35.09812871,4.427202191,41.57918759,2.647193063,13.14468279,0.456412597,1.962574167,0.684618895,1317,874,331,71,95,27,5,79,29,195,175,30,767,28,20,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,1,Skagen,6189,2438,58,241582,35.9347229,3.7647439,42.46243335,2.989174342,10.61560834,0.323153983,2.375181774,1.534981419,4741,1448,1903,138,280,136,35,150,41,48,548,107,1243,153,52,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,2,Hulsig,130,55,59.9,272563.2,32.30769231,5.384615385,34.61538462,5.384615385,15.38461538,0,4.615384615,2.307692308,108,22,25,3,7,1,0,4,1,1,15,1,32,9,1,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,3,Ålbæk,1451,577,58.2,219489.1,34.32115782,2.481047553,40.45485872,3.928325293,13.71467953,0.689179876,2.618883529,1.791867677,1103,348,398,25,131,23,11,44,9,15,168,20,305,58,8,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,4,Jerup,713,267,57.5,211813.7,27.0687237,2.384291725,44.88078541,5.890603086,14.72650771,0.701262272,2.52454418,1.823281907,577,136,223,14,18,40,2,21,3,6,99,15,142,25,7,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,5,Elling,1280,387,54,226964.2,27.421875,3.4375,49.140625,3.984375,12.421875,0.15625,1.875,1.5625,805,475,425,19,39,38,8,38,10,19,161,24,267,24,8,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,6,Strandby,1940,676,56.1,233353.5,31.64948454,3.556701031,42.83505155,3.969072165,14.27835052,0.567010309,1.804123711,1.340206186,1316,624,480,39,82,26,7,59,17,166,229,27,402,23,20,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,7,Frederikshavn Nord,4870,1501,54.6,220945.6,32.15605749,3.593429158,43.67556468,4.147843943,12.11498973,0.574948665,2.156057495,1.58110883,3417,1453,1808,92,167,105,31,172,50,30,509,76,775,118,35,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,8,Frederikshavn Midt,7730,2222,51.7,197252.6,34.20439845,6.610608021,39.7542044,3.725743855,10.8538163,0.608020699,2.250970246,1.992238034,5717,2013,2395,177,227,168,54,295,68,50,670,171,1163,254,81,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,9,Frederikshavn Syd,5524,1891,54.4,215470.8,30.37653874,5.213613324,42.72266474,4.163649529,12.52715424,0.651701665,2.950760319,1.393917451,3911,1613,1870,139,227,153,42,161,67,52,468,106,1073,122,66,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,10,Ravnshøj,1420,387,53.3,225715.4,30.63380282,3.028169014,44.64788732,4.014084507,13.38028169,0.352112676,2.746478873,1.197183099,897,523,409,36,46,18,5,44,10,25,153,23,358,31,20,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,11,Gærum,1477,436,53.5,274278,22.41029113,3.317535545,44.68517265,5.010155721,17.94177387,0.473933649,5.213270142,0.947867299,894,583,403,42,76,41,13,48,21,19,146,29,435,34,17,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,12,Sæby,7215,2818,57.8,227021.4,30.82467082,3.797643798,41.84338184,4.504504505,13.69369369,0.60984061,3.672903673,1.053361053,5206,2009,2288,201,288,122,41,229,81,99,629,83,1721,166,76,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,13,Brønden,356,84,51.6,205472.4,35.11235955,4.494382022,41.29213483,3.370786517,9.269662921,1.123595506,4.213483146,1.123595506,239,117,78,8,10,6,4,15,5,9,28,4,95,19,7,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,14,Dybvad,836,269,54.1,200264.6,41.74641148,2.870813397,40.07177033,2.511961722,8.253588517,0.358851675,1.913875598,2.272727273,585,251,212,24,17,18,2,19,10,8,92,12,194,21,9,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,15,Hørby,641,160,52.3,222160.4,37.44149766,3.900156006,41.49765991,3.120124805,10.92043682,0.31201248,2.028081123,0.780031201,423,218,177,21,14,13,2,20,8,19,56,13,138,16,8,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,16,Præstbro,365,85,51.4,195477.2,35.61643836,2.739726027,41.09589041,4.383561644,12.32876712,0.547945205,2.191780822,1.095890411,221,144,109,11,14,12,1,8,3,9,35,9,75,15,0,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,17,Thorshøj,595,146,51.1,206294.1,41.34453782,2.68907563,40.67226891,2.352941176,9.411764706,0.336134454,2.18487395,1.008403361,384,211,165,11,8,23,3,8,9,13,79,9,126,11,4,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,18,Understed,436,119,54.1,216270.6,31.19266055,2.981651376,43.34862385,3.899082569,15.13761468,0.917431193,0.917431193,1.605504587,275,161,116,10,5,16,3,12,7,1,52,14,120,20,0,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,19,Voerså,608,162,53.3,217765.7,33.55263158,3.289473684,44.07894737,3.618421053,11.18421053,0.493421053,2.138157895,1.644736842,421,187,155,10,11,16,5,13,7,8,89,18,137,23,8,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,20,Volstrup,529,127,52,240140.4,38.75236295,2.079395085,42.34404537,4.914933837,9.073724008,0.378071834,0.945179584,1.512287335,371,158,146,6,15,13,5,18,4,5,60,9,119,13,2,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,21,Østervrå,1405,408,54.3,205112.1,38.36298932,3.701067616,42.70462633,2.775800712,8.754448399,0.213523132,1.850533808,1.637010676,937,468,332,27,35,15,5,37,18,49,179,15,388,16,11,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,813,22,Lyngså,488,191,56.5,208987,31.14754098,3.278688525,43.44262295,4.713114754,12.29508197,0.614754098,2.254098361,2.254098361,365,123,151,12,17,14,5,10,5,10,48,9,131,10,2,0
10.Nordjyllands Storkreds,1. Frederikshavn Opstillingskreds,825,15,Læsø,1492,667,60.3,207823.8,41.08579088,3.820375335,36.39410188,1.876675603,12.13136729,0.670241287,3.016085791,1.00536193,1189,303,353,36,77,19,9,45,10,25,228,18,316,70,15,0
10.Nordjyllands Storkreds,2. Hjørring Opstillingskreds,860,1,Horne.2,1411,394,53.4,293076.5,31.53791637,4.110559887,41.74344437,3.047484054,14.59957477,0.425230333,2.338766832,2.197023388,923,488,336,33,98,37,9,41,10,31,152,32,351,25,10,0
10.Nordjyllands Storkreds,2. Hjørring Opstillingskreds,860,3,Hirtshals,4303,1530,56.5,214729.3,42.13339531,4.020450848,37.55519405,2.254241227,8.226818499,0.348594004,1.069021613,4.392284453,3266,1037,1201,61,185,102,22,133,32,63,484,98,801,74,31,0
10.Nordjyllands Storkreds,2. Hjørring Opstillingskreds,860,4,Hjørring - Centrum,5196,1377,49.3,198900.6,34.29561201,10.48883757,30.92763664,2.983063895,15.01154734,0.789068514,4.060816012,1.443418014,3993,1203,1432,232,283,68,37,270,59,55,286,90,809,249,86,0
10.Nordjyllands Storkreds,2. Hjørring Opstillingskreds,860,6,Tornby,1393,482,56.1,278498.6,27.92534099,4.809763101,38.47810481,3.015075377,18.09045226,0.861450108,5.743000718,1.076812635,954,439,327,59,68,34,11,66,16,16,126,14,385,43,18,0
10.Nordjyllands Storkreds,2. Hjørring Opstillingskreds,860,7,Bindslev,1274,395,55.1,207603.8,41.20879121,2.904238619,41.28728414,2.825745683,8.791208791,0.235478807,1.177394035,1.569858713,853,421,304,28,50,42,7,35,5,20,129,19,366,40,10,0
10.Nordjyllands Storkreds,2. Hjørring Opstillingskreds,860,8,Tversted,1286,499,58.5,221812.9,34.21461897,4.976671851,34.68118196,4.121306376,15.16329705,0.933125972,3.888024883,2.021772939,972,314,261,52,50,30,7,49,16,11,100,17,377,48,16,0
10.Nordjyllands Storkreds,2. Hjørring Opstillingskreds,860,11,Taars,2549,767,54.3,213037,38.05413888,3.609258533,39.85876814,3.49156532,11.7693213,0.470772852,1.804629266,0.941545704,1754,795,578,66,106,42,9,73,17,69,250,26,719,57,19,0
10.Nordjyllands Storkreds,2. Hjørring Opstillingskreds,860,12,Vrejlev-Hæstrup,1382,307,50.7,224911.4,31.76555716,4.558610709,45.80318379,4.630969609,10.05788712,0.289435601,1.374819103,1.519536903,886,496,291,27,60,28,11,41,6,22,117,29,415,35,12,0
10.Nordjyllands Storkreds,2. Hjørring Opstillingskreds,860,13,Bjergby-Mygdal,1278,357,53,232209.9,27.9342723,3.912363067,41.23630673,5.086071987,16.35367762,0.391236307,4.616588419,0.469483568,797,481,294,43,58,38,9,52,17,19,93,18,419,46,18,0
10.Nordjyllands Storkreds,2. Hjørring Opstillingskreds,860,14,Skallerup,1271,532,59,228362.2,25.80645161,4.563335956,38.4736428,4.48465775,20.77104642,1.258851298,3.619197482,1.02281668,959,312,294,40,69,20,4,53,33,16,107,9,358,73,32,0
10.Nordjyllands Storkreds,2. Hjørring Opstillingskreds,860,15,Hjørring - Nord,4967,1343,51.9,235056.3,25.79021542,5.395611033,41.95691564,4.348701429,17.41493859,0.563720556,3.825246628,0.704650695,2942,2025,1598,150,308,67,26,208,60,36,364,67,1201,142,49,0
10.Nordjyllands Storkreds,2. Hjørring Opstillingskreds,860,16,Hjørring - Syd,5115,1287,50.3,230308.3,26.2170088,5.356793744,41.38807429,3.94916911,17.22385142,0.508308895,4.242424242,1.114369501,3153,1962,1499,177,306,92,33,237,40,44,347,82,1184,172,71,0
10.Nordjyllands Storkreds,2. Hjørring Opstillingskreds,860,18,Hjørring - Vest,4763,1586,54.6,239098.4,28.67940374,6.130589964,36.09069914,3.695150115,17.92987613,0.839806844,5.605710687,1.028763384,3152,1611,1425,210,313,67,21,234,65,74,319,53,1028,162,66,0
10.Nordjyllands Storkreds,2. Hjørring Opstillingskreds,860,19,Vrå,3149,892,52.6,212222.9,34.01079708,4.445855827,38.39314068,3.620196888,14.79834868,0.508097809,2.60400127,1.619561766,2018,1131,831,116,129,89,11,150,33,62,255,53,691,115,40,0
